Family,Binomial,Method,Injection,Dosage mg/kg,Tested on
Viperidae,Crotalus cerastes,LD50,IV,0.342,Pigeon
Viperidae,Agkistrodon contortrix,LD50,IV,0.343,Pigeon
Viperidae,Crotalus molossus,LDLo,IV,0.343,Pigeon
Elapidae,Hydrophis nigrocinctus,LD50,SC,0.344,Mouse
Elapidae,Micrurus lemniscatus,LD50,IP,0.35,Mouse
Elapidae,Hydrophis viperinus,LD50,IV,0.35,Mouse
Elapidae,Naja atra,LDLo,unknown,0.35,Monkey
Elapidae,Naja atra,LDLo,SC,0.35,Rabbit
Elapidae,Naja siamensis,LD50,IP,0.35,Mouse
Elapidae,Naja nigricollis,LDLo,IC,0.35,Rabbit
Elapidae,Naja naja,LDLo,SC,0.35,Monkey
Elapidae,Naja nigricollis,LD50,IP,0.352,Mouse
Elapidae,Ophiophagus hannah,LD50,IP,0.355,Mouse
Viperidae,Agkistrodon laticinctus,LD50,IP,0.358,Mouse
Elapidae,Naja naja,LDLo,PA,0.36,Mouse
Viperidae,Trimeresurus albolabris,LD50,IV,0.37,Mouse
Elapidae,Naja nivea,LD50,IV,0.371,Mouse
Viperidae,Atropoides picadoi,LD50,IP,0.375,Mouse
Viperidae,Cerrophidion godmani,LD50,IP,0.375,Mouse
Viperidae,Bitis nasicornis,LDLo,IV,0.375,Rabbit
Viperidae,Echis coloratus,LD50,IP,0.376,Mouse
Viperidae,Deinagkistrodon acutus,LD50,IV,0.38,Mouse
Viperidae,Gloydius intermedius,LD50,IP,0.38,Mouse
Viperidae,Trimeresurus sumatranus,LD50,IV,0.38,Mouse
Elapidae,Dendroaspis angusticeps,LD50,IV,0.381,Mouse
Viperidae,Bitis arietans,LD50,IV,0.389,Mouse
Viperidae,Bothrops moojeni,LD50,IV,0.39,Mouse
Viperidae,Daboia russelii,LD50,IP,0.4,Mouse
Elapidae,Naja nivea,LD50,SC,0.4,Mouse
Elapidae,Naja sumatrana,LD50,IV,0.4,Mouse
Viperidae,Bothrops insularis,LD50,IM,0.4,Chicken
Elapidae,Walterinnesia aegyptia,LD50,SC,0.4,Mouse
Elapidae,Walterinnesia aegyptia,LDLo,IM,0.4,Rabbit
Elapidae,Austrelaps superbus,LDLo,IM,0.4,Frog
Elapidae,Micrurus nigrocinctus,LD50,IP,0.4,Mouse
Elapidae,Hydrophis melanosoma,LD50,IP,0.4,Mouse
Elapidae,Naja atra,LDLo,SC,0.4,Monkey
Elapidae,Naja atra,LDLo,SC,0.4,Pigeon
Elapidae,Naja atra,LDLo,unknown,0.4,Pigeon
Elapidae,Naja atra,LDLo,SC,0.4,Chicken
Elapidae,Naja naja,LDLo,SC,0.4,Guinea Pig
Elapidae,Naja naja,LD50,IP,0.4,Mammal
Elapidae,Naja naja,LD50,IV,0.4,Mammal
Viperidae,Crotalus adamanteus,LDLo,IP,0.4,Rabbit
Elapidae,Hydrophis hardwickii,LD50,IP,0.408,Mouse
Viperidae,Bothrops diporus,LD50,IC,0.41,Mouse
Viperidae,Crotalus atrox,LD50,IC,0.413,Mouse
Elapidae,Micrurus clarki,LD50,IV,0.42,Mouse
Elapidae,Naja atra,LD50,IM,0.43,Pigeon
Elapidae,Naja oxiana,LD50,IP,0.43,Rat
Elapidae,Naja oxiana,LD50,IM,0.43,Rat
Elapidae,Naja naja,LD50,IM,0.43,Rat
Viperidae,Porthidium nasutum,LD50,IP,0.438,Mouse
Elapidae,Naja nigricollis,LD50,IM,0.44,Mouse
Elapidae,Micrurus tschudii,LD50,IP,0.44,Mouse
Viperidae,Bitis cornuta,LD50,IV,0.444,Mouse
Elapidae,Dendroaspis angusticeps,LD50,IV,0.45,Mammal
Elapidae,Laticauda colubrina,LD50,SC,0.45,Mouse
Elapidae,Bungarus caeruleus,LD50,SC,0.45,Mouse
Elapidae,Naja oxiana,LD50,SC,0.45,Mouse
Elapidae,Hydrophis cyanocinctus,LD50,SC,0.465,Mouse
Viperidae,Bothrops asper,LD50,IP,0.469,Mouse
Viperidae,Cerastes cerastes,LD50,SC,0.475,Mouse
Elapidae,Microcephalophis gracilis,LD50,SC,0.48,Mouse
Viperidae,Cerastes gasperettii,LD50,IV,0.481,Mouse
Viperidae,Vipera seoanei,LD50,IV,0.485,Mouse
Viperidae,Daboia siamensis,LD50,IP,0.489,Mouse
Elapidae,Naja pallida,LD50,IV,0.49,Mouse
Elapidae,Laticauda semifasciata,LD50,IM,0.5,Mouse
Elapidae,Austrelaps superbus,LD50,SC,0.5,Mouse
Elapidae,Tropidechis carinatus,LDLo,SC,0.5,Dog
Colubridae,Dispholidus typus,LDLo,IM,0.5,Rabbit
Viperidae,Azemiops feae,LDLo,SC,0.5,Mouse
Elapidae,Naja nivea,LDLo,IV,0.5,Dog
Elapidae,Naja nivea,LDLo,SC,0.5,Chicken
Viperidae,Cerastes vipera,LDLo,IV,0.5,Rabbit
Viperidae,Cerastes gasperettii,LDLo,IV,0.5,Rabbit
Viperidae,Cerastes cerastes,LDLo,IV,0.5,Rabbit
Elapidae,Pseudonaja textilis,LDLo,IM,0.5,Frog
Viperidae,Bitis arietans,LD50,IP,0.5,Mouse
Viperidae,Bitis arietans,LDLo,IV,0.5,Dog
Elapidae,Pseudechis porphyriacus,LDLo,IM,0.5,Frog
Elapidae,Notechis scutatus,LDLo,IM,0.5,Frog
Elapidae,Bungarus multicinctus,LDLo,unknown,0.5,Rat
Elapidae,Micrurus fulvius,LDLo,IV,0.5,Dog
Viperidae,Daboia siamensis,LDLo,SC,0.5,Guinea Pig
Viperidae,Trimeresurus purpureomaculatus,LD50,IV,0.5,Mouse
Elapidae,Naja annulifera,LD50,IP,0.5,Guinea Pig
Elapidae,Naja atra,LDLo,unknown,0.5,Dog
Elapidae,Naja kaouthia,LDLo,SC,0.5,Mouse
Elapidae,Naja kaouthia,LDLo,IV,0.5,Mouse
Elapidae,Naja naja,LDLo,SC,0.5,Rabbit
Viperidae,Crotalus horridus,LDLo,IV,0.5,Dog
